oldID,newID
duravent-4-diameter-w-3-adapter-branch-3pvptadx41,3pvp-tadx41
duravent-4-diameter-w-3-adapter-branch-black-3pvptadx4b1,3pvp-tadx4b1
duravent-4-pelletvent-pro-fresh-air-intake-kit-4pvpaik,4pvp-aik
duravent-4-pelletvent-pro-horizontal-kit-4pvpkha,4pvp-kha
duravent-4-pelletvent-pro-vertical-kit-cathedral-4pvpkvb,4pvp-kvb
duravent-4-pelletvent-pro-vertical-kit-flat-ceiling-4pvpkva,4pvp-kva
duravent-4-wall-thimble-air-intake-kit-4pvpwti,4pvp-wti
duravent-45-elbow-black-3pvpe45b,3pvp-e45b
duravent-48-pipe-extension-3pvp48a,3pvp-48a
duravent-48-pipe-extension-black-3pvp48ab,3pvp-48ab
duravent-6-durablack-stovepipe-kit-6dbkksp,6dbk-ksp
duravent-6-straight-length-pipe-3pvp06,3pvp-06
duravent-6-straight-length-pipe-4pvp06,4pvp-06
duravent-6-straight-length-pipe-black-3pvp06b,3pvp-06b
duravent-6-straight-length-pipe-black-4pvp06b,4pvp-06b
duravent-60-flex-pipe-3pvp60f,3pvp-60f
duravent-60-straight-length-pipe-3pvp60,3pvp-60
duravent-60-straight-length-pipe-4pvp60,4pvp-60
duravent-60-straight-length-pipe-black-3pvp60b,3pvp-60b
duravent-60-straight-length-pipe-black-4pvp60b,4pvp-60b
duravent-90-elbow-3pvpe90,3pvp-e90
duravent-90-elbow-black-3pvpe90b,3pvp-e90b
duravent-adapter-tee-w-cleanout-tee-cap-3pvptad1,3pvp-tad1
duravent-adapter-tee-w-cleanout-tee-cap-3pvptadb1,3pvp-tadb1
duravent-adjustable-roof-flashing-0-126-12-3pvpf6,3pvp-f6
duravent-adjustable-wall-strap-3pvpwsa,3pvp-wsa
duravent-appliance-adapter-3pvpad,3pvp-ad
duravent-appliance-adapter-increaser-3-4-3pvpx4ad,3pvp-x4ad
duravent-appliance-adapter-increaser-3-4-black-3pvpx4adb,3pvp-x4adb
duravent-appliance-adapter-increaser-harmon-3-4-black-3pvpx4adhb,3pvp-x4adhb
duravent-attic-insulation-shield-3pvpis,3pvp-is
duravent-cathedral-ceiling-support-box-3pvpcs,3pvp-cs
duravent-ceiling-support-firestop-spacer-for-1-clearance-3pvpfs,3pvp-fs
duravent-ceiling-support-wall-thimble-cover-3pvpwtc,3pvp-wtc
duravent-chimney-adapter-6-3pvpx6,3pvp-x6
duravent-chimney-adapter-7-3pvpx7,3pvp-x7
duravent-chimney-adapter-8-3pvpx8,3pvp-x8
duravent-cleanout-tee-cap-3pvpco1,3pvp-co1
duravent-cleanout-tee-cap-black-3pvpcob1,3pvp-cob1
duravent-direct-vent-pro-17-24-inch-adjustable-pipe-black-direct-vent-pipe-for-gas-fireplaces-gas-st,58dva-17tab
duravent-direct-vent-pro-17-24-inch-adjustable-pipe-with-welded-seam-black-direct-vent-pipe-for-gas-,46dva-24tab
duravent-direct-vent-pro-3x3-colinear-reline-kit-al-flex-incl-high-wind-term-cap-2-flex-alum-flex-le,46dva-cl33kfb
duravent-direct-vent-pro-3x4-colinear-reline-kit-al-flex-inc-high-wind-term-cap-2-flex-alum-flex-len,46dva-cl34kfb
duravent-direct-vent-pro-4x6-dia-co-linear-termination-adpt-direct-vent-pipe-for-gas-fireplaces-gas-,46dva-clta
duravent-direct-vent-pro-4x6-dia-coaxial-colin-3x4-adapter-direct-vent-pipe-for-gas-fireplaces-gas-s,46dva-gcl34
duravent-direct-vent-pro-4x6-diameter-3-inchx4-inch-co-linear-adapter-direct-vent-pipe-for-gas-firep,46dva-34claa
duravent-direct-vent-pro-4x6-diameter-3-inchx4-inch-colinear-term-adpt-direct-vent-pipe-for-gas-fire,46dva-34clta
duravent-direct-vent-pro-4x6-diameter-roof-support-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46,46dva-rs
duravent-direct-vent-pro-4x6-dva-14in-snorkel-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46dvah2,46dva-h2-snk14
duravent-direct-vent-pro-4x6-dva-36in-snorkel-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46dvah2,46dva-h2-snk36
duravent-direct-vent-pro-4x6-dva-horizontal-cap-v2-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46,46dva-h2
duravent-direct-vent-pro-5x8-diameter-roof-support-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58,58dva-rs
duravent-direct-vent-pro-5x8-dva-14in-snorkel-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58dvah2,58dva-h2-snk14
duravent-direct-vent-pro-5x8-dva-36in-snorkel-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58dvah2,58dva-h2-snk36
duravent-direct-vent-pro-5x8-dva-horizontal-cap-v2-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58,58dva-h2
duravent-direct-vent-pro-counter-flashing-kit-small-direct-vent-pipe-for-gas-fireplaces-gas-stoves-4,46dva-cfks
duravent-direct-vent-pro-dsa-flashing-0-12-6-12-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58dva,58dva-f6ds
duravent-direct-vent-pro-dsa-flashing-7-12-12-12-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58dv,58dva-f12ds
duravent-direct-vent-pro-duraflex-al-coupling-direct-vent-pipe-for-gas-fireplaces-gas-stoves-4dfafc,4dfa-fc
duravent-direct-vent-pro-dv-vinyl-siding-standoff-box-direct-vent-pipe-for-gas-fireplaces-gas-stoves,dva-bvs
duravent-direct-vent-pro-lowprofile-termination-cap-aluminum-direct-vent-pipe-for-gas-fireplaces-gas,58dva-vc
duravent-direct-vent-pro-reducer-direct-vent-pipe-for-gas-fireplaces-gas-stoves-68dvsx58,68dvs-x58
duravent-direct-vent-pro-universal-wall-thimble-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58dva,58dva-wtu
duravent-direct-vent-pro-vinyl-siding-standoff-kitsmallcopper-direct-vent-pipe-for-gas-fireplaces-ga,46dva-vsks-c
duravent-direct-vent-pro-wall-firestop-11-inch-x-11-inch-direct-vent-pipe-for-gas-fireplaces-gas-sto,46dva-wfs2
duravent-directvent-pro-11-14-5-8-inch-adjustable-pipe-length-galvanized-direct-vent-pipe-for-gas-fi,58dva-17ta
duravent-directvent-pro-11-17-inch-adjustable-pipe-galvanized-direct-vent-pipe-for-gas-fireplaces-ga,46dva-17ta
duravent-directvent-pro-11-17-inch-adjustable-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-,46dva-17tab
duravent-directvent-pro-12-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46d,46dva-12b
duravent-directvent-pro-12-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58d,58dva-12b
duravent-directvent-pro-12-inch-pipe-length-galvanized-direct-vent-pipe-for-gas-fireplaces-gas-stove,46dva-12
duravent-directvent-pro-14-inch-snorkel-cap-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58dva-snk,58dva-snk14
duravent-directvent-pro-14-inch-snorkel-termination-cap-direct-vent-pipe-for-gas-fireplaces-gas-stov,46dva-snk14
duravent-directvent-pro-16-inch-adjustable-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas,58dva-16ab
duravent-directvent-pro-16-inch-adjustable-pipe-length-galvanized-direct-vent-pipe-for-gas-fireplace,58dva-16a
duravent-directvent-pro-16-inch-pipe-extension-adjusts-3-14-5-inch-black-direct-vent-pipe-for-gas-fi,46dva-16ab
duravent-directvent-pro-16-inch-pipe-extension-adjusts-3-14-5-inch-direct-vent-pipe-for-gas-fireplac,46dva-16a
duravent-directvent-pro-17-24-inch-adjustable-pipe-galvanized-direct-vent-pipe-for-gas-fireplaces-ga,58dva-24ta
duravent-directvent-pro-17-24-inch-adjustable-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-,46dva-917b
duravent-directvent-pro-17-24-inch-adjustable-pipe-length-galvanized-direct-vent-pipe-for-gas-firepl,46dva-24ta
